family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,subject_index,y_true,y_pred,campaign
MAE,MAE,,,,all,all,age,fine_tuning,8,1,19.92,20.262276,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,8,2,22.776316,24.438629,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,8,3,13.230769,13.601028,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,8,0,25.25,24.714842,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,8,1,19.92,19.305676,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,8,2,22.776316,21.912037,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,8,3,13.230769,18.567032,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,9,0,20.706896,21.155293,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,9,1,15.652174,16.247108,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,9,2,15.217391,13.427382,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,9,3,9.236363,11.639962,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,9,0,20.706896,17.877829,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,9,1,15.652174,20.448465,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,9,2,15.217391,18.731314,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,9,3,9.236363,18.270187,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,0,0,23.1,17.771349,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,0,1,7.809524,17.291393,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,0,2,24.571428,18.606886,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,0,3,17.265957,17.508356,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,0,4,14.981818,17.672613,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,1,0,22.484848,15.535213,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,1,1,23.361702,15.202522,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,1,2,8.131579,15.370705,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,1,3,24.431654,15.777327,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,1,4,10.466666,15.065157,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,2,0,13.857142,17.036926,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,2,1,16.74074,17.04442,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,2,2,27.48,16.344721,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,2,3,17.288889,16.847839,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,2,4,36.0,14.971122,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,3,0,20.033897,18.03088,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,3,1,10.086957,17.712105,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,3,2,12.6,17.18611,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,3,3,13.517241,17.703234,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,3,4,25.104347,17.678904,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,4,0,12.185185,16.476789,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,4,1,10.902439,18.651077,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,4,2,7.125,19.830223,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,4,3,31.799999,18.865,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,4,4,10.609756,17.126015,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,5,0,21.299999,16.926651,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,5,1,16.439024,17.34042,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,5,2,14.341772,18.046221,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,5,3,22.196079,17.753523,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,6,0,23.77,17.444742,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,6,1,10.272727,17.386726,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,6,2,22.170732,17.494152,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,6,3,11.014925,17.518984,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,7,0,22.506172,17.722338,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,7,1,18.200001,17.516373,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,7,2,17.319635,17.209272,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,7,3,20.962963,17.508772,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,8,0,25.25,17.189774,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,8,1,19.92,16.911627,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,8,2,22.776316,17.858776,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,8,3,13.230769,17.890486,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,9,0,20.706896,18.273901,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,9,1,15.652174,18.688253,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,9,2,15.217391,19.372238,baselines_paper
PCA,PCA,,,,all,all,age,linear_probe,9,3,9.236363,18.109995,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,0,0,23.1,24.091406,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,0,1,7.809524,12.154094,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,0,2,24.571428,22.532057,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,0,3,17.265957,18.967468,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,0,4,14.981818,14.634263,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,0,0,23.1,25.903551,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,0,1,7.809524,12.240074,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,0,2,24.571428,20.303072,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,0,3,17.265957,19.757055,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,0,4,14.981818,15.86296,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,1,0,22.484848,23.222057,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,1,1,23.361702,22.594231,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,1,2,8.131579,9.549088,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,1,3,24.431654,23.628334,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,1,4,10.466666,9.243508,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,1,0,22.484848,23.102186,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,1,1,23.361702,16.59099,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,1,2,8.131579,11.907403,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,1,3,24.431654,22.978298,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,1,4,10.466666,11.283327,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,2,0,13.857142,12.267939,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,2,1,16.74074,11.192403,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,2,2,27.48,26.084311,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,2,3,17.288889,15.343031,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,2,4,36.0,32.203243,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,2,0,13.857142,12.888478,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,2,1,16.74074,14.66718,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,2,2,27.48,28.208027,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,2,3,17.288889,17.048794,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,2,4,36.0,25.919201,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,3,0,20.033897,18.250767,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,3,1,10.086957,9.884694,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,3,2,12.6,11.963229,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,3,3,13.517241,14.402337,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,3,4,25.104347,23.870253,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,3,0,20.033897,18.60236,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,3,1,10.086957,12.386352,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,3,2,12.6,12.453792,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,3,3,13.517241,14.168979,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,3,4,25.104347,23.772068,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,4,0,12.185185,10.360964,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,4,1,10.902439,13.024663,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,4,2,7.125,10.790062,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,4,3,31.799999,32.205399,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,4,4,10.609756,13.675903,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,4,0,12.185185,10.650574,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,4,1,10.902439,10.600133,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,4,2,7.125,12.702746,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,4,3,31.799999,28.900316,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,4,4,10.609756,13.461524,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,5,0,21.299999,23.210443,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,5,1,16.439024,15.659492,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,5,2,14.341772,15.25508,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,5,3,22.196079,24.227104,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,5,0,21.299999,24.346567,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,5,1,16.439024,14.482048,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,5,2,14.341772,15.311371,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,linear_probe,5,3,22.196079,26.043957,baselines_paper
TripletLoss,TripletLoss,,,,all,all,age,fine_tuning,6,0,23.77,23.212496,baselines_paper
